OBJECTID;Locatable;Excavated;Kanton;Fieldname;Municipality;Literatur;Quality;Number of mounds;NEL;EBA;MBA;LBA;HaC;HaD;ELT;EMA;HaC1;HaC2;HaD1;HaD23;LTA;Periods;HA Subperiods;Status objects;Cluster ID;PM_Raster;PM_Point;Altitude;Slope;Profile Curvature;Tangential Curvature;Positive-Negative;Vegetation;Total Viewshed;Skyline;Visibility Alps;Accessibility;Movement;Crop Suitability;Land-use_categories;Oldest Period
89;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.916111112;0.830617708;815.0620677;4.981917889;0.002239037;0.001736542;0.794354831;Mixed Forest;140.2142884;48.16666667;62.47142982;6612.139595;0.030403423;0.06084;Forests;
330;1;1;Waadt;Bois de Fermens;Apples;"Bonstetten 1874, 22; Viollier 1927, 33; Drack 1964, 41";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0.9974359;0.830753846;684.8965407;0.690990778;0.000640837;-3.54168E-05;0.157568234;Mixed Forest;155.6181849;17.07692308;46.9090916;6334.073546;0.877491521;0.23328;Forests;
404;1;0;;;;;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99247312;0.836075;709.914602;0.458228343;0.000376509;-2.83995E-05;-0.338709673;Mixed Forest;133.1818198;15.19354839;0;6622.764468;1.573771883;0.16242469;Constructed areas;
176;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.977948725;0.838074603;543.6707435;13.52440379;-7.69362E-05;0.001004547;0.395781636;Mixed Forest;137.9272759;25;83.98181915;6937.992837;0.04306864;0.101371161;Constructed areas;
133;1;1;Bern;Spielwald;Frauenkappelen;"Jahn 1850, 140; von Bonstetten 1855, 34; StaZH W I 3 174.4, Brief von Gustav von Bonstetten an Ferdinand Keller; BBB Mss.h.h.XLV.1, Albert Jahn (1811-1900), Skizzen bernischer Altertümer; Tschumi 1953, 224; Drack 1957, 4";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0.966060617;0.844371795;645.1625089;0.97330269;-0.001036904;0.000468901;0.275659819;Mixed Forest;109.7538487;31.09090909;107.107693;6673.024476;0;0.215661228;Forests;
283;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;1;0.8469;621.1613339;4.203948259;0.000765002;0.000587646;0.911764699;Mixed Forest;269.6000034;105.2941176;100.1411788;6802.182753;0;0.2262645;Forests;
268;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.977647059;0.85295;705.7061552;3.946931176;0.000841127;0.000681225;0.014231499;Mixed Forest;105.2117664;20.35294118;0;6595.910267;1.00031669;0.205245;Forests;
215;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.989696974;0.856644872;558.0202692;2.946047902;0.000425775;0.000500989;0.005865102;Mixed Forest;56.63077105;29;94.21538661;6620.50132;0.313179418;0.348435;Forests;
56;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;1;0.856759722;521.5529734;5.855121632;0.002475938;0.002412352;0.094086019;Mixed Forest;192.5500031;20.33333333;155.0000013;6494.57995;0.547020043;0.045452881;Forests;
282;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.932727283;0.857987255;610.4874933;8.990821925;-0.000485113;0.000250286;0.329912018;Mixed Forest;191.2571444;38.72727273;0.657142844;6884.400549;0;0.248646857;Forests;
266;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.970476185;0.866815385;649.7655552;1.146791329;0.00066349;-4.32721E-05;0.003456221;Mixed Forest;72.84615473;12.85714286;15.63076922;6621.584161;0.001035304;0.34992;Forests;
50;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99939394;0.868004545;551.7450728;1.759148479;1.36824E-06;0.000572508;0.621700883;Mixed Forest;60.800001;14.36363636;166.9384648;6462.173102;0.19405359;0.157464;Forests;
168;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;1;0.872760256;584.7490094;1.347397699;0.001100898;-8.37604E-05;0.594292799;Mixed Forest;335.1384665;111.5384615;159.4307697;6509.352913;1.823014796;0.225639692;Forests;
159;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99948718;0.878803571;530.7723013;2.254894073;0.000369677;0.000136366;0.846153842;Mixed Forest;347.3538537;76.84615385;160.6000038;6490.628771;0.055043656;0.193360909;Forests;
362;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.9748718;0.879957692;645;1.302089136;0.001709423;0.000221111;-0.004962779;Mixed Forest;49.33333397;10.84615385;6.983333349;6488.69787;0;0.172542857;Grassland;
